time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, 0.039062, 11.775110, 19, 1, 19, 0
20, 0.078125, 11.778600, 19, 1, 19, 0
30, 99999.990000, 11.782793, 0, 1, 0, 0
40, 0.046875, 11.787842, 13, 1, 13, 0
50, 0.085938, 11.793676, 19, 1, 19, 0
60, 99999.990000, 11.800064, 0, 1, 0, 0
70, 0.044271, 11.806758, 15, 1, 15, 0
80, 0.084635, 11.813571, 18, 1, 18, 0
90, 99999.990000, 11.820373, 0, 1, 0, 0
100, 99999.990000, 11.827053, 0, 1, 0, 0
110, 0.045573, 11.833533, 14, 1, 14, 0
120, 0.085938, 11.839767, 18, 1, 18, 0
130, 0.126302, 11.845741, 18, 1, 18, 0
140, 0.121094, 11.851453, 18, 1, 18, 0
150, 0.119792, 11.856912, 19, 1, 19, 0
160, 0.118490, 11.862144, 19, 1, 19, 0
170, 0.117188, 11.867180, 19, 1, 19, 0
180, 0.115885, 11.872095, 18, 1, 18, 0
190, 0.114583, 11.876946, 18, 1, 18, 0
200, 0.118490, 11.881759, 14, 1, 14, 0
210, 0.125000, 11.886570, 5, 2, 4, 1
220, 99999.990000, 11.891427, 0, 2, 0, 0
230, 99999.990000, 11.896358, 0, 2, 0, 0
240, 99999.990000, 11.901388, 0, 2, 0, 0
250, 99999.990000, 11.906536, 0, 2, 0, 0
260, 99999.990000, 11.911818, 0, 2, 0, 0
270, 0.018229, 11.917245, 3, 1, 3, 0
280, 0.039062, 11.922827, 5, 1, 5, 0
290, 0.076322, 11.928576, 13, 2, 7, 6
300, 0.095853, 11.934492, 16, 2, 8, 8
310, 0.111478, 11.940552, 19, 2, 18, 1
320, 0.111979, 11.946753, 18, 1, 18, 0
330, 0.110677, 11.953089, 17, 1, 17, 0
340, 0.109375, 11.959559, 18, 1, 18, 0
350, 0.106771, 11.966171, 18, 1, 18, 0
360, 0.105392, 11.972913, 17, 2, 9, 8
370, 0.105392, 11.979780, 16, 2, 8, 8
380, 0.105132, 11.986759, 15, 2, 8, 7
390, 0.100260, 11.993839, 10, 2, 7, 3
400, 0.083333, 12.001011, 7, 2, 6, 1
410, 0.066667, 12.008272, 5, 1, 5, 0
420, 0.053385, 12.015628, 6, 1, 6, 0
430, 0.050781, 12.023081, 5, 1, 5, 0
440, 0.048177, 12.030632, 5, 1, 5, 0
450, 0.045573, 12.038270, 4, 1, 4, 0
460, 0.044271, 12.045990, 4, 1, 4, 0
470, 0.042969, 12.053785, 4, 1, 4, 0
480, 0.044271, 12.061657, 5, 1, 5, 0
490, 0.045573, 12.069603, 5, 1, 5, 0
500, 0.046875, 12.077623, 5, 1, 5, 0
510, 0.055990, 12.085716, 8, 2, 6, 2
520, 0.070530, 12.093884, 12, 2, 7, 5
530, 0.084108, 12.102123, 14, 3, 7, 6
540, 0.090445, 12.110426, 15, 2, 8, 7
550, 0.091530, 12.118791, 17, 1, 17, 0
560, 0.092274, 12.127225, 18, 1, 18, 0
570, 0.091146, 12.135733, 18, 1, 18, 0
580, 0.089844, 12.144322, 18, 1, 18, 0
590, 0.088542, 12.152999, 17, 1, 17, 0
600, 0.085938, 12.161765, 18, 2, 17, 1
610, 0.084635, 12.170618, 17, 1, 17, 0
620, 0.083333, 12.179551, 18, 1, 18, 0
630, 0.083333, 12.188559, 18, 1, 18, 0
640, 0.080729, 12.197524, 17, 1, 17, 0
650, 0.079427, 12.206669, 17, 1, 17, 0
660, 0.076823, 12.215901, 18, 2, 17, 1
670, 0.076823, 12.225221, 17, 1, 17, 0
680, 0.075521, 12.234629, 18, 1, 18, 0
690, 0.074219, 12.244123, 17, 1, 17, 0
700, 0.071615, 12.253706, 17, 1, 17, 0
