time,yellow_line_angle
10, -0.042215
20, -0.083809
30, -0.125555
40, -0.124770
50, -0.124752
60, -0.122682
70, -0.121183
80, -0.119319
90, -0.118807
100, -0.117825
110, -0.115973
120, -0.114470
130, -0.112885
140, -0.111795
150, -0.111027
160, -0.110556
170, -0.111024
180, -0.110590
190, -0.109703
200, -0.108243
210, -0.106993
220, -0.106344
230, -0.105673
240, -0.106331
250, -0.105961
260, -0.105436
270, -0.103858
280, -0.103594
290, -0.102628
300, -0.101109
310, -0.098794
320, -0.097677
330, -0.096358
340, -0.096672
350, -0.094988
360, -0.093710
370, -0.090936
380, -0.089056
390, -0.088025
400, -0.086072
410, -0.083282
420, -0.080472
430, -0.078118
440, -0.076357
450, -0.073849
460, -0.071985
470, -0.069996
480, -0.068705
490, -0.065998
500, -0.063784
510, -0.060627
520, -0.057786
530, -0.055952
540, -0.052618
550, -0.049389
560, -0.046233
570, -0.044159
580, -0.042552
590, -0.039730
600, -0.037543
610, -0.034978
620, -0.032049
630, -0.028576
640, -0.025324
650, -0.022791
660, -0.020283
670, -0.018535
680, -0.016015
690, -0.013271
700, -0.009594
710, -0.007552
720, -0.004896
730, -0.003070
740, 0.000233
750, 0.002246
760, 0.005176
770, 0.007176
780, 0.009105
790, 0.010624
800, 0.011850
810, 0.013517
820, 0.014689
830, 0.015981
840, 0.016485
850, 0.017088
860, 0.017759
870, 0.018625
880, 0.019484
890, 0.020326
900, 0.021178
910, 0.022306
920, 0.023410
930, 0.024182
940, 0.025542
950, 0.026563
960, 0.027841
970, 0.028465
980, 0.029133
990, 0.029456
1000, 0.029859
1010, 0.030269
1020, 0.031338
1030, 0.032719
1040, 0.034555
1050, 0.035751
1060, 0.036673
1070, 0.037198
1080, 0.037825
1090, 0.038053
1100, 0.038253
1110, 0.038438
1120, 0.038510
1130, 0.038554
1140, 0.038541
1150, 0.039192
1160, 0.040356
1170, 0.041582
1180, 0.041994
1190, 0.042238
1200, 0.042554
1210, 0.043231
1220, 0.043594
1230, 0.043941
1240, 0.043994
1250, 0.044097
1260, 0.043977
1270, 0.044394
1280, 0.044741
1290, 0.045208
1300, 0.045387
1310, 0.045636
1320, 0.045549
1330, 0.045301
1340, 0.045031
1350, 0.044858
1360, 0.044858
1370, 0.044947
1380, 0.045536
1390, 0.046515
1400, 0.046954
1410, 0.047247
1420, 0.047500
1430, 0.048001
1440, 0.048529
1450, 0.048311
1460, 0.048079
1470, 0.047797
1480, 0.047130
1490, 0.046872
1500, 0.045853
1510, 0.045166
1520, 0.043991
1530, 0.043216
1540, 0.042826
1550, 0.042644
1560, 0.042422
1570, 0.041767
1580, 0.041070
1590, 0.040671
1600, 0.040532
1610, 0.040861
1620, 0.040895
1630, 0.040263
1640, 0.039245
1650, 0.038154
1660, 0.037154
1670, 0.036082
1680, 0.034966
1690, 0.034315
1700, 0.033809
1710, 0.033224
1720, 0.032950
1730, 0.032658
1740, 0.033143
1750, 0.033256
1760, 0.032889
1770, 0.032095
1780, 0.031308
1790, 0.029941
1800, 0.028230
1810, 0.026503
1820, 0.025716
1830, 0.025617
1840, 0.025813
1850, 0.025731
1860, 0.025235
1870, 0.023515
1880, 0.021638
1890, 0.019529
1900, 0.018622
1910, 0.018144
1920, 0.018032
1930, 0.017788
1940, 0.017727
1950, 0.016753
1960, 0.014906
1970, 0.012522
1980, 0.011028
1990, 0.010698
2000, 0.010771
2010, 0.010529
2020, 0.009265
2030, 0.007488
2040, 0.005291
2050, 0.003713
2060, 0.002875
2070, 0.003746
2080, 0.004612
2090, 0.003865
2100, 0.001397
2110, -0.001785
2120, -0.003721
2130, -0.004243
2140, -0.004069
2150, -0.004208
2160, -0.004883
2170, -0.005534
2180, -0.005847
2190, -0.006557
2200, -0.007912
2210, -0.008710
2220, -0.009937
2230, -0.010301
2240, -0.011183
2250, -0.011450
2260, -0.011717
2270, -0.011750
2280, -0.011923
2290, -0.012034
2300, -0.012275
2310, -0.012386
2320, -0.012558
2330, -0.012569
2340, -0.012470
2350, -0.012562
2360, -0.013084
2370, -0.013606
2380, -0.013848
2390, -0.014188
2400, -0.014528
2410, -0.015016
2420, -0.015160
2430, -0.015467
2440, -0.015793
2450, -0.016219
2460, -0.016056
2470, -0.015977
2480, -0.015551
2490, -0.015407
2500, -0.014802
2510, -0.014286
2520, -0.014003
2530, -0.014017
2540, -0.013943
2550, -0.013653
2560, -0.013526
2570, -0.013400
2580, -0.013400
2590, -0.013400
2600, -0.013762
2610, -0.013643
2620, -0.013180
2630, -0.012517
2640, -0.012336
2650, -0.012130
2660, -0.011924
2670, -0.011543
2680, -0.011648
2690, -0.011287
2700, -0.011202
2710, -0.010714
2720, -0.010913
2730, -0.010685
2740, -0.010200
2750, -0.010068
2760, -0.009524
2770, -0.009462
2780, -0.008840
2790, -0.008570
2800, -0.007998
2810, -0.007612
2820, -0.007612
2830, -0.007981
2840, -0.007902
2850, -0.008075
2860, -0.007419
2870, -0.007414
2880, -0.007377
2890, -0.007465
2900, -0.007354
2910, -0.007021
2920, -0.007422
2930, -0.007924
2940, -0.008356
2950, -0.008277
2960, -0.007319
2970, -0.006238
2980, -0.005120
2990, -0.004675
3000, -0.004423
3010, -0.004523
3020, -0.004423
3030, -0.004217
3040, -0.004188
3050, -0.004258
3060, -0.004519
3070, -0.004126
3080, -0.003401
3090, -0.002472
3100, -0.001610
3110, -0.001163
3120, -0.000902
3130, -0.000827
3140, -0.000738
3150, -0.000812
3160, -0.000817
3170, -0.000852
3180, -0.000579
3190, -0.000342
3200, 0.000293
3210, 0.001080
3220, 0.001293
3230, 0.001140
3240, 0.000681
3250, 0.000230
3260, 0.000298
3270, 0.000442
3280, 0.000893
3290, 0.000911
3300, 0.001073
3310, 0.001643
3320, 0.002313
3330, 0.002839
3340, 0.002956
3350, 0.002956
3360, 0.003067
3370, 0.003349
3380, 0.003283
3390, 0.003411
3400, 0.003249
3410, 0.003249
3420, 0.003000
3430, 0.002872
3440, 0.002930
3450, 0.002930
3460, 0.002995
3470, 0.003402
3480, 0.003685
3490, 0.003685
3500, 0.003478
3510, 0.003394
3520, 0.003654
3530, 0.003583
3540, 0.003746
3550, 0.003670
3560, 0.003722
3570, 0.003650
3580, 0.003521
3590, 0.003734
3600, 0.003736
3610, 0.004006
3620, 0.004075
3630, 0.004275
3640, 0.004347
3650, 0.004275
3660, 0.004174
3670, 0.003831
3680, 0.003560
3690, 0.003289
3700, 0.003567
3710, 0.003661
3720, 0.003867
3730, 0.003609
3740, 0.003237
3750, 0.002753
3760, 0.002650
3770, 0.003133
3780, 0.003793
3790, 0.004258
3800, 0.004434
3810, 0.004434
3820, 0.004434
3830, 0.004434
3840, 0.004434
3850, 0.004548
3860, 0.004483
3870, 0.004307
3880, 0.004018
3890, 0.003689
3900, 0.003373
3910, 0.003056
3920, 0.002956
3930, 0.002766
3940, 0.002766
3950, 0.002766
3960, 0.002956
3970, 0.003067
3980, 0.003178
3990, 0.003289
4000, 0.003178
4010, 0.003239
4020, 0.003300
4030, 0.003356
4040, 0.003356
4050, 0.003118
4060, 0.003053
4070, 0.002872
4080, 0.002930
4090, 0.002930
4100, 0.002930
4110, 0.003255
4120, 0.003536
4130, 0.003601
4140, 0.003556
4150, 0.003415
4160, 0.003724
4170, 0.003724
4180, 0.003724
4190, 0.003415
4200, 0.003181
4210, 0.002879
4220, 0.002651
4230, 0.002496
4240, 0.002234
4250, 0.002033
4260, 0.001527
4270, 0.001448
4280, 0.001151
4290, 0.001105
4300, 0.001014
4310, 0.001172
4320, 0.001239
4330, 0.001316
4340, 0.001575
4350, 0.002159
4360, 0.002423
4370, 0.002380
4380, 0.002255
4390, 0.002425
4400, 0.002682
4410, 0.003061
4420, 0.003061
4430, 0.002932
4440, 0.002455
4450, 0.002307
4460, 0.001962
4470, 0.001600
4480, 0.001146
4490, 0.000962
4500, 0.000732
4510, 0.000219
4520, -0.000504
4530, -0.001029
4540, -0.001510
4550, -0.001727
4560, -0.001680
4570, -0.001377
4580, -0.001327
4590, -0.001413
4600, -0.001598
4610, -0.001359
4620, -0.001192
4630, -0.000774
4640, -0.000738
4650, -0.000830
4660, -0.000987
4670, -0.001009
4680, -0.001345
4690, -0.002598
4700, -0.003664
4710, -0.004538
4720, -0.004666
4730, -0.004764
4740, -0.005388
4750, -0.005738
4760, -0.006686
4770, -0.006838
4780, -0.006850
4790, -0.007079
4800, -0.007360
4810, -0.008141
4820, -0.008280
4830, -0.009385
4840, -0.010213
4850, -0.010542
4860, -0.010066
4870, -0.009688
4880, -0.009949
4890, -0.011505
4900, -0.013252
4910, -0.015671
4920, -0.016360
4930, -0.017500
4940, -0.017766
4950, -0.018841
4960, -0.019166
4970, -0.019455
4980, -0.019610
4990, -0.020017
5000, -0.019938
5010, -0.020277
5020, -0.020067
5030, -0.020607
5040, -0.020361
5050, -0.020236
5060, -0.020153
5070, -0.020860
5080, -0.022230
5090, -0.023272
5100, -0.023998
5110, -0.024777
5120, -0.025960
5130, -0.027016
5140, -0.027525
5150, -0.028511
5160, -0.029946
5170, -0.031352
5180, -0.031868
5190, -0.031897
5200, -0.032888
5210, -0.035194
5220, -0.037896
5230, -0.039911
5240, -0.040281
5250, -0.040855
5260, -0.042197
5270, -0.044403
5280, -0.047478
5290, -0.049028
5300, -0.049188
5310, -0.049012
5320, -0.050618
5330, -0.053307
5340, -0.055792
5350, -0.056561
5360, -0.057233
5370, -0.056759
5380, -0.057558
5390, -0.058550
5400, -0.060741
5410, -0.061076
5420, -0.061428
5430, -0.061299
5440, -0.063138
5450, -0.064784
5460, -0.066502
5470, -0.067419
5480, -0.069166
5490, -0.070285
