time,ego_x,ego_y,ego_heading,ego_vel_lin,ego_vel_lin_x,ego_vel_lin_y,ego_vel_ang_x,ego_vel_ang_y,lead_x,lead_y,lead_heading,lead_vel_lin,lead_vel_lin_x,lead_vel_lin_y,lead_vel_ang_x,lead_vel_ang_y,distance_true,direction,ob_color_1,ob_color_2,ob_color_3,color_dist_from_black,dist_obst_follower,dist_obst_lead,ob_pos_x,ob_pos_y,gamma
10,-65.46455363766637,-104.41059974988934,-0.0031131032279567697,0.21246309437078023,0.21080937281599743,0.026457036918991247,-0.0649410327455414,-0.1417661051213851,-56.170812837667704,-105.1912555718762,-0.026598781557820222,0.1962845950478585,0.19620477284352023,-0.005597264199984245,0.038261045485180924,-0.1834504637222727,9.326469941513876,R,0.0,0.5,0.0,0.5,136.353713301443,128.10887876747321,60.83838383838384,-53.03061224489796,4.326469941513876
20,-65.46040514861077,-104.41034867060492,-0.003075865959080039,0.3982940197472899,0.3968349586464458,0.03406085381384605,-0.04120341723491438,-0.1727194504789735,-56.16624646243621,-105.19150375174479,-0.02644600208537861,0.4339826602150276,0.43391865033018445,-0.007453473213424019,0.024792885596035798,-0.21924312450366054,9.326928162293559,R,0.0,0.5,0.0,0.5,136.3497759981897,128.10480910028562,60.83838383838384,-53.03061224489796,4.326928162293559
30,-65.45389348232833,-104.41011247668585,-0.0030242495446809034,0.6299127291416061,0.6290453370238782,0.03304557917697712,-0.027274497954164822,-0.20722464889499365,-56.15915889814596,-105.19186946696841,-0.02620597417858004,0.6823958818982077,0.6823618467574503,-0.00681540324518164,0.01418539895544224,-0.249554945094279,9.32755246472789,R,0.0,0.5,0.0,0.5,136.34365535264178,128.09848461778583,60.83838383838384,-53.03061224489796,4.327552464727891
40,-65.44501073325313,-104.40994602324767,-0.00295722765063939,0.8629743758065227,0.8625451638292312,0.027214217855050293,-0.01871222291682096,-0.23474809052196502,-56.15001808532992,-105.19225961334978,-0.025934767165738008,0.8854300277643892,0.8854177775659422,-0.004657599922136349,0.008773715094711157,-0.2632452142067579,9.327856285246089,R,0.0,0.5,0.0,0.5,136.3353647592686,128.0902948737925,60.83838383838384,-53.03061224489796,4.327856285246089
50,-65.43408761081147,-104.40984490505427,-0.0029136518306305697,1.0643797073807566,1.064243929416421,0.017000593643781658,-0.012299937940551654,-0.24887075075620677,-56.13924911343478,-105.19264422168575,-0.02564892136914371,1.0474439245010498,1.0474423829477364,-0.0017970472804626266,0.004815380094784851,-0.2626761106853326,9.327743428205697,R,0.0,0.5,0.0,0.5,136.32520894770093,128.08061598445659,60.83838383838384,-53.03061224489796,4.327743428205697
60,-65.42153822789183,-104.40980379096406,-0.002877842229700008,1.2260832459536297,1.2260478968227189,0.009310247299433784,-0.005457342922922403,-0.2490097105530236,-56.12719694463182,-105.19301722090887,-0.025363770729988997,1.1763136630392297,1.1763136249820716,-0.0002992228415268274,0.0006146723041134238,-0.25059836660540064,9.327282732208628,R,0.0,0.5,0.0,0.5,136.313569552372,128.06976060253072,60.83838383838384,-53.03061224489796,4.327282732208628
70,-65.40770415476105,-104.40981282708499,-0.0028268319974464927,1.3550741825685986,1.3550628593621017,0.005539624658852987,0.0018004159932148442,-0.23788552725138995,-56.114128626194145,-105.19337910425767,-0.02508576541488577,1.279659251147339,1.2796592152801978,0.00030297761804579906,-0.0035585661674782916,-0.22976694136535702,9.326549319866372,R,0.0,0.5,0.0,0.5,136.30075930103064,128.05797288025914,60.83838383838384,-53.03061224489796,4.326549319866372
80,-65.39284832990259,-104.40986497638707,-0.002757248254472293,1.458945651730268,1.4589425602581367,0.0030034263915685116,0.008102640663065076,-0.21823239062973576,-56.1002376945934,-105.19373138502513,-0.024816689533417965,1.3646085299623623,1.364608445705348,0.0004795369368114904,-0.0073767531216865365,-0.202787893582716,9.325613061137192,R,0.0,0.5,0.0,0.5,136.28701913964537,128.0454302365375,60.83838383838384,-53.03061224489796,4.325613061137192
90,-65.37715974721236,-104.40996450883142,-0.0026834249220681903,1.5448370159138327,1.5448362566455967,-0.0015316301041093457,0.011538232161431426,-0.19261949042241341,-56.085650248411525,-105.19407642021457,-0.02455559404422992,1.4376505325427469,1.4376504515090298,0.00048269693025821986,-0.010655031844941293,-0.17202702613177304,9.324536463325085,R,0.0,0.5,0.0,0.5,136.27252577709456,128.03224883559463,60.83838383838384,-53.03061224489796,4.324536463325085
100,-65.36076029120305,-104.41008325960489,-0.002685472092208882,1.6192289548671246,1.6191731301383727,-0.013445553837049982,0.013169533981068992,-0.1633763645959169,-56.07043260478366,-105.19441716977417,-0.024301391480640408,1.504494438008326,1.5044944143808667,0.0002666360101803132,-0.013341265828436467,-0.13955055800683092,9.323377510521176,R,0.0,0.5,0.0,0.5,136.25738152772257,128.01849048626832,60.83838383838384,-53.03061224489796,4.323377510521176
