time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, -0.049479, 8.784443, 27, 1, 27, 0
20, -0.098958, 8.784643, 27, 1, 27, 0
30, -0.144857, 8.785654, 16, 2, 10, 6
40, -0.155273, 8.787079, 17, 1, 17, 0
50, -0.153971, 8.788656, 26, 1, 26, 0
60, -0.126302, 8.789881, 3, 1, 3, 0
70, -0.114583, 8.790787, 26, 1, 26, 0
80, -0.112602, 8.791340, 23, 2, 13, 10
90, -0.148459, 8.791532, 13, 4, 10, 1
100, -0.147067, 8.791374, 29, 2, 27, 2
110, -0.147657, 8.790878, 29, 2, 27, 2
120, -0.127983, 8.790074, 14, 2, 8, 6
130, -0.127886, 8.789001, 14, 2, 8, 6
140, -0.134115, 8.787709, 28, 2, 20, 8
150, -0.149014, 8.786238, 31, 2, 24, 7
160, -0.148663, 8.784628, 34, 2, 27, 7
170, -0.141989, 8.782915, 34, 2, 27, 7
180, -0.137974, 8.781137, 33, 2, 26, 7
190, -0.141766, 8.779333, 28, 2, 21, 7
200, -0.143083, 8.777514, 20, 2, 13, 7
210, -0.142658, 8.775716, 13, 2, 7, 6
220, -0.136799, 8.773961, 8, 2, 7, 1
230, -0.129182, 8.772257, 8, 2, 7, 1
240, -0.123372, 8.770628, 15, 3, 6, 6
250, -0.122824, 8.769072, 19, 2, 10, 9
260, -0.127160, 8.767586, 25, 2, 13, 12
270, -0.131066, 8.766161, 26, 1, 26, 0
280, -0.129010, 8.764790, 27, 1, 27, 0
290, -0.126302, 8.763464, 27, 1, 27, 0
300, -0.125000, 8.762185, 27, 1, 27, 0
310, -0.125000, 8.760951, 27, 1, 27, 0
320, -0.123698, 8.759748, 26, 1, 26, 0
330, -0.121094, 8.758564, 27, 1, 27, 0
340, -0.118490, 8.757397, 28, 2, 27, 1
350, -0.117188, 8.756238, 28, 2, 27, 1
360, -0.117188, 8.755084, 27, 1, 27, 0
370, -0.114583, 8.753783, 28, 2, 27, 1
380, -0.111979, 8.752471, 28, 2, 27, 1
390, -0.109375, 8.751146, 28, 2, 27, 1
400, -0.108073, 8.749928, 24, 2, 12, 12
410, -0.105242, 8.748760, 23, 2, 12, 11
420, -0.102638, 8.747574, 20, 2, 10, 10
430, -0.100034, 8.746366, 16, 2, 8, 8
440, -0.097168, 8.745137, 16, 3, 8, 7
450, -0.094043, 8.743889, 20, 3, 8, 6
460, -0.089486, 8.742620, 16, 3, 7, 5
470, -0.085905, 8.741332, 16, 3, 7, 5
480, -0.083171, 8.740025, 16, 3, 8, 4
490, -0.084039, 8.738706, 12, 3, 7, 3
500, -0.085286, 8.737370, 12, 3, 7, 3
510, -0.087457, 8.736025, 12, 3, 8, 3
520, -0.087476, 8.734658, 11, 3, 7, 3
530, -0.087930, 8.733281, 11, 3, 7, 3
540, -0.090317, 8.731887, 12, 2, 8, 4
550, -0.089429, 8.730493, 12, 3, 7, 4
560, -0.091597, 8.729091, 13, 2, 8, 5
570, -0.089209, 8.727691, 12, 2, 7, 5
580, -0.087430, 8.726295, 15, 3, 8, 6
590, -0.080748, 8.724903, 14, 3, 8, 5
600, -0.070602, 8.723516, 16, 3, 7, 6
610, -0.064352, 8.722137, 18, 3, 8, 7
620, -0.056478, 8.720768, 18, 3, 7, 7
630, -0.053462, 8.719412, 17, 4, 8, 4
640, -0.051292, 8.718069, 12, 2, 8, 4
650, -0.050052, 8.716741, 14, 2, 9, 5
660, -0.046069, 8.715427, 13, 2, 8, 5
670, -0.039211, 8.714127, 15, 2, 9, 6
680, -0.035352, 8.712842, 16, 2, 10, 6
690, -0.029329, 8.711575, 16, 2, 9, 7
700, -0.027181, 8.710324, 16, 2, 10, 6
710, -0.022949, 8.709092, 16, 2, 10, 6
720, -0.022135, 8.707878, 16, 2, 10, 6
730, -0.018555, 8.706789, 18, 2, 11, 7
740, -0.013477, 8.706073, 20, 2, 11, 9
750, -0.007118, 8.705580, 30, 3, 13, 13
760, -0.001742, 8.705122, 31, 2, 27, 4
770, 0.002946, 8.704541, 32, 2, 27, 5
780, 0.005544, 8.703747, 31, 2, 27, 4
790, 0.015292, 8.702726, 26, 2, 20, 6
800, 0.012688, 8.701477, 8, 3, 6, 1
810, 0.013479, 8.700115, 19, 2, 11, 8
820, 0.008772, 8.698701, 27, 1, 27, 0
830, 0.016584, 8.697281, 25, 1, 25, 0
840, 0.026476, 8.695884, 6, 2, 5, 1
850, 0.008247, 8.694530, 11, 1, 11, 0
860, 0.008247, 8.693241, 27, 1, 27, 0
870, 0.002604, 8.692036, 27, 1, 27, 0
880, 0.037760, 8.690927, 16, 1, 16, 0
890, 0.014323, 8.689916, 7, 1, 7, 0
900, 0.016927, 8.689008, 27, 1, 27, 0
910, 0.005208, 8.688217, 27, 1, 27, 0
920, 0.031250, 8.687542, 27, 1, 27, 0
930, 0.037760, 8.687000, 22, 1, 22, 0
940, 0.049479, 8.686583, 18, 1, 18, 0
950, 0.063802, 8.686280, 16, 1, 16, 0
960, 0.054253, 8.686133, 6, 3, 3, 2
970, 0.016493, 8.686107, 5, 1, 5, 0
980, -0.022569, 8.686172, 6, 1, 6, 0
990, -0.044271, 8.686284, 6, 1, 6, 0
1000, -0.042969, 8.686479, 6, 1, 6, 0
1010, -0.042969, 8.686776, 6, 1, 6, 0
1020, -0.027530, 8.687158, 7, 3, 4, 2
1030, 0.012545, 8.687608, 9, 3, 4, 4
1040, 0.056816, 8.688074, 16, 1, 16, 0
1050, 0.083044, 8.688394, 18, 1, 18, 0
1060, 0.080729, 8.688683, 21, 1, 21, 0
1070, 0.066406, 8.689084, 27, 1, 27, 0
1080, 0.054688, 8.689576, 27, 1, 27, 0
1090, 0.046875, 8.690128, 27, 1, 27, 0
1100, 0.046875, 8.690705, 27, 1, 27, 0
1110, 0.046875, 8.691294, 27, 1, 27, 0
1120, 0.046875, 8.691872, 27, 1, 27, 0
1130, 0.027344, 8.692428, 12, 1, 12, 0
1140, 0.005208, 8.692962, 10, 1, 10, 0
1150, -0.019531, 8.693477, 8, 1, 8, 0
1160, -0.027344, 8.693953, 4, 1, 4, 0
1170, -0.001953, 8.694411, 8, 3, 4, 2
1180, 0.039714, 8.694838, 16, 1, 16, 0
1190, 0.082682, 8.695141, 17, 1, 17, 0
1200, 0.093750, 8.695253, 18, 1, 18, 0
1210, 0.089844, 8.695325, 19, 1, 19, 0
1220, 0.085938, 8.695423, 20, 1, 20, 0
1230, 0.083333, 8.695563, 20, 1, 20, 0
1240, 0.080729, 8.695700, 21, 1, 21, 0
1250, 0.079427, 8.695831, 21, 1, 21, 0
1260, 0.078125, 8.695947, 21, 1, 21, 0
1270, 0.079427, 8.696037, 20, 1, 20, 0
1280, 0.080729, 8.696101, 20, 1, 20, 0
1290, 0.083333, 8.696142, 19, 1, 19, 0
1300, 0.084635, 8.696164, 19, 1, 19, 0
1310, 0.087240, 8.696170, 18, 1, 18, 0
1320, 0.089844, 8.696163, 17, 1, 17, 0
1330, 0.092448, 8.696146, 17, 1, 17, 0
1340, 0.095052, 8.696124, 16, 1, 16, 0
1350, 0.094792, 8.696101, 10, 2, 6, 4
