time,yellow_line_angle
10, 0.051587
20, 0.103361
30, 0.155134
40, 0.154804
50, 0.153701
60, 0.153537
70, 0.153198
80, 0.152244
90, 0.150683
100, 0.149331
110, 0.149094
120, 0.148524
130, 0.147937
140, 0.147177
150, 0.146154
160, 0.145453
170, 0.145411
180, 0.145913
190, 0.146595
200, 0.146875
210, 0.146595
220, 0.146314
230, 0.146034
240, 0.146449
250, 0.146413
260, 0.145913
270, 0.144896
280, 0.144030
290, 0.144123
300, 0.144179
310, 0.144531
320, 0.144624
330, 0.144139
340, 0.142526
350, 0.141134
360, 0.140266
370, 0.139458
380, 0.138204
390, 0.136853
400, 0.135320
410, 0.133065
420, 0.131257
430, 0.130552
440, 0.129357
450, 0.127307
460, 0.124068
470, 0.122490
480, 0.120342
490, 0.118273
500, 0.115777
510, 0.113231
520, 0.111840
530, 0.109688
540, 0.107396
550, 0.103854
560, 0.100690
570, 0.098086
580, 0.094961
590, 0.092248
600, 0.088707
610, 0.085345
620, 0.082524
630, 0.080128
640, 0.078218
650, 0.074416
660, 0.070835
670, 0.068086
680, 0.066246
690, 0.063268
700, 0.059187
710, 0.054413
720, 0.051531
730, 0.049154
740, 0.046393
750, 0.043152
760, 0.040274
770, 0.037025
780, 0.033143
790, 0.029876
800, 0.026399
810, 0.023831
820, 0.020428
830, 0.017707
840, 0.014540
850, 0.011217
860, 0.008718
870, 0.006506
880, 0.003817
890, 0.001103
900, -0.002118
910, -0.004538
920, -0.007366
930, -0.010234
940, -0.012435
950, -0.015325
960, -0.017538
970, -0.019817
980, -0.021419
990, -0.022852
1000, -0.025006
1010, -0.027477
1020, -0.029625
1030, -0.031312
1040, -0.032462
1050, -0.034005
1060, -0.035614
1070, -0.037613
1080, -0.039006
1090, -0.040358
1100, -0.040861
1110, -0.042072
1120, -0.042869
1130, -0.043805
1140, -0.044410
1150, -0.045456
1160, -0.046446
1170, -0.047125
1180, -0.048572
1190, -0.050094
1200, -0.051673
1210, -0.052685
1220, -0.052897
1230, -0.053541
1240, -0.053601
1250, -0.054005
1260, -0.054149
1270, -0.054379
1280, -0.054451
1290, -0.054530
1300, -0.054614
1310, -0.054772
1320, -0.055466
1330, -0.056359
1340, -0.057172
1350, -0.057397
1360, -0.057313
1370, -0.057289
1380, -0.057346
1390, -0.057430
1400, -0.057861
1410, -0.058024
1420, -0.058187
1430, -0.058355
1440, -0.058560
1450, -0.058588
1460, -0.058549
1470, -0.058822
1480, -0.058812
1490, -0.058629
1500, -0.058524
1510, -0.058795
1520, -0.058843
1530, -0.058710
1540, -0.058660
1550, -0.058710
1560, -0.058387
1570, -0.058036
1580, -0.057182
1590, -0.056538
1600, -0.055710
1610, -0.055299
1620, -0.054888
1630, -0.054569
1640, -0.054760
1650, -0.054832
1660, -0.055095
1670, -0.054253
1680, -0.053266
1690, -0.051819
1700, -0.051241
1710, -0.050742
1720, -0.050308
1730, -0.049486
1740, -0.048763
1750, -0.047689
1760, -0.047070
1770, -0.046839
1780, -0.046801
1790, -0.046025
1800, -0.044649
1810, -0.043107
1820, -0.041576
1830, -0.040674
1840, -0.040207
1850, -0.040115
