time,ego_x,ego_y,ego_heading,ego_vel_lin,ego_vel_lin_x,ego_vel_lin_y,ego_vel_ang_x,ego_vel_ang_y,lead_x,lead_y,lead_heading,lead_vel_lin,lead_vel_lin_x,lead_vel_lin_y,lead_vel_ang_x,lead_vel_ang_y,distance_true,direction,ob_color_1,ob_color_2,ob_color_3,color_dist_from_black,dist_obst_follower,dist_obst_lead,ob_pos_x,ob_pos_y,gamma
10,-65.21955122811485,-105.8306715887569,0.0504208555699767,0.21214637171191025,0.2119443332596843,-0.009256491216215919,0.08805603789649466,-0.1265990330621658,-55.35292356193041,-104.35494204454125,-0.00035664099287708293,0.21317228913233335,0.21098375129987382,0.03046771309685265,-0.07141053300730539,-0.13403070692384467,9.976378059736268,S,0.0,0.0,0.0,0.0,138.31445599228437,130.11421083392733,37.52040816326531,-13.227272727272727,4.976378059736268
20,-65.21502078789278,-105.83078866907204,0.05064450824238907,0.4342548416124916,0.4341295450890635,0.010430989629605581,0.06806656096149016,-0.16854371753434208,-55.34871076594164,-104.35464245266566,-0.00032810656554433895,0.40566063999299207,0.4038568942370053,0.03821208992929113,-0.04551234004008543,-0.16739387308847048,9.976125555618495,S,0.0,0.0,0.0,0.0,138.31116920394223,130.11099401570814,37.52040816326531,-13.227272727272727,4.976125555618495
30,-65.20800070538264,-105.83073876630648,0.05093652527147038,0.6791045437456725,0.6780923981822198,0.03706320093440382,0.056902571005708676,-0.2074798243832191,-55.34218928495658,-104.3543608831638,-0.00027792553666138796,0.6318048333707931,0.6306790929475794,0.03769919348625407,-0.03033423086116832,-0.20163283654222314,9.975666726452031,S,0.0,0.0,0.0,0.0,138.30592146082026,130.10614205563874,37.52040816326531,-13.227272727272727,4.975666726452031
40,-65.19853220749492,-105.83052793562894,0.05132780976583196,0.9207553051351327,0.9183179040134225,0.06695191634961434,0.04697322836754351,-0.23817341697711564,-55.333167392629775,-104.35413871086104,-0.00021777504895263903,0.8773238351018798,0.8767392476963047,0.03202191728781966,-0.020040990197521744,-0.2328550489611558,9.975226717894182,S,0.0,0.0,0.0,0.0,138.2987475940247,130.09954726095393,37.52040816326531,-13.227272727272727,4.9752267178941825
50,-65.18699736499428,-105.83015819888337,0.05182009551777678,1.1258818994557829,1.1217201814919524,0.09671548974090298,0.038398423949389145,-0.25400078361808415,-55.32205660080466,-104.35398798402132,-0.00015866382246609753,1.0833973407081545,1.083132497476222,0.02395393004129616,-0.012169507732773789,-0.24859412639514428,9.974774923987813,S,0.0,0.0,0.0,0.0,138.28993292360295,130.09151200963154,37.52040816326531,-13.227272727272727,4.9747749239878125
60,-65.17383177957129,-105.8296348478467,0.05237368567881474,1.2890519380540966,1.2833730083186892,0.12086612643772573,0.029239781979386738,-0.2551999492488186,-55.3092844965462,-104.35390791963647,-8.94023740518746e-05,1.24841862142971,1.2482964154866392,0.017467495975819203,-0.0048288605061636986,-0.25000569010605317,9.974320180627975,S,0.0,0.0,0.0,0.0,138.27980469955403,130.0823411566582,37.52040816326531,-13.227272727272727,4.974320180627975
70,-65.15939258354123,-105.82896501031784,0.05293460294539988,1.4177450927307498,1.4110754348593184,0.13735816356776023,0.019753606127190883,-0.24464021833412833,-55.29520115952492,-104.35388413920589,-1.2868070105800523e-05,1.3798837221479292,1.3798308169876743,0.01208317590499294,0.002132390675009409,-0.23985951897599422,9.973872669427728,S,0.0,0.0,0.0,0.0,138.2686330846142,130.07227468366307,37.52040816326531,-13.227272727272727,4.9738726694277275
80,-65.14395216674411,-105.82817302837817,0.053524359026246644,1.5204227750502355,1.5125946053737689,0.154087555258793,0.0115426451452035,-0.22513404411079513,-55.280077481328384,-104.35390154296927,6.295113491928782e-05,1.4854745197040802,1.4854569100602106,0.00723305222153354,0.008497262293642345,-0.22090571432534473,9.973439738739842,S,0.0,0.0,0.0,0.0,138.25663679746185,130.0614955134154,37.52040816326531,-13.227272727272727,4.973439738739842
90,-65.12770932467747,-105.82727813807261,0.054157283006925995,1.6042052180945052,1.5950997170498595,0.17067886345150354,0.00418068270277087,-0.1992737698556376,-55.26410993580191,-104.35394806721926,0.00013038833268712793,1.5723833958680058,1.5723811100488059,0.0026811122853901102,0.01401416240714828,-0.19573470501270673,9.973028346590969,S,0.0,0.0,0.0,0.0,138.24397645430585,130.05013555313255,37.52040816326531,-13.227272727272727,4.973028346590969
100,-65.11078382212749,-105.82630893327672,0.05490282389556785,1.6769786034870102,1.6658087587961508,0.19323150796718175,-0.0014210172241368542,-0.16964789800509594,-55.24742702355512,-104.3540149313686,0.0001829513792229635,1.647143256061695,1.647142349497689,-0.0017281437311792505,0.018483395263863098,-0.16669535066845442,9.972635407152836,S,0.0,0.0,0.0,0.0,138.23076023310946,130.03828047917594,37.52040816326531,-13.227272727272727,4.972635407152836
