time,ego_x,ego_y,ego_heading,ego_vel_lin,ego_vel_lin_x,ego_vel_lin_y,ego_vel_ang_x,ego_vel_ang_y,lead_x,lead_y,lead_heading,lead_vel_lin,lead_vel_lin_x,lead_vel_lin_y,lead_vel_ang_x,lead_vel_ang_y,distance_true,direction,ob_color_1,ob_color_2,ob_color_3,color_dist_from_black,dist_obst_follower,dist_obst_lead,ob_pos_x,ob_pos_y,gamma
10,-66.45793273337162,-105.48666003104002,0.05802033324568283,0.193739367296294,0.19337411232592344,0.011890968107326361,0.04060301878706479,-0.19663002920383388,-53.53783603652854,-104.92028525148531,0.035654863852473,0.28812330232332123,0.28715850489476413,0.023559083350158116,0.003551164736428882,-0.06365871251101152,12.932504747599792,S,0.0,1.0,0.0,1.0,135.86520678066094,126.02084447509294,35.86734693877551,-16.106060606060606,2.0674952524002084
20,-66.45339241961219,-105.48647803150206,0.05815307834899554,0.4296791471426211,0.4285073880590623,0.03171100547145167,0.03600003710695012,-0.231912114434584,-53.53262627414252,-104.92013653640963,0.03582508137780579,0.5100163304517271,0.5087013680822658,0.03660021091027246,0.003350995099764926,-0.11321009476030762,12.933172096395321,S,0.0,1.0,0.0,1.0,135.86166759610035,126.01704366407056,35.86734693877551,-16.106060606060606,2.066827903604679
30,-66.44635673996136,-105.48619496859426,0.058386983432686945,0.6755919230356585,0.6733260322956702,0.055285628367499326,0.03164815924303535,-0.261330778949893,-53.52489970703286,-104.91989007606524,0.036014210455391236,0.756715256798269,0.755159718057373,0.048495155374315646,0.006510355030883154,-0.1609511705230067,12.933860718483082,S,0.0,1.0,0.0,1.0,135.8561827048182,126.01138863417108,35.86734693877551,-16.106060606060606,2.066139281516918
40,-66.43730755522509,-105.48578209622531,0.05868487056684869,0.8752677272108439,0.8718981125231526,0.07672858447410597,0.029134187560223398,-0.2735604880801169,-53.51454389052025,-104.91952235783177,0.036191503134071726,1.014951404720994,1.0132486251934707,0.05876714633756317,0.009443197165218985,-0.20361940311603965,12.935164120533653,S,0.0,1.0,0.0,1.0,135.84909622370054,126.00378326285868,35.86734693877551,-16.106060606060606,2.0648358794663473
50,-66.42691015825434,-105.48525907714905,0.05902750231620618,1.0105893362903482,1.0062296351102786,0.09376954755997352,0.0261576398261107,-0.2664516067593194,-53.501471567506535,-104.91904892390345,0.03635730445300826,1.2821548600162194,1.2803657910421524,0.06770912931218628,0.010474601864885233,-0.24046083427139567,12.937834312620916,S,0.0,1.0,0.0,1.0,135.84092223762124,125.99417690970512,35.86734693877551,-16.106060606060606,2.0621656873790837
60,-66.41526849219703,-105.48463038318837,0.05940632413734284,1.1362597821137401,1.1309894117709576,0.10931259264672033,0.0227005106944929,-0.25366784403473336,-53.486194366628325,-104.91849358431769,0.03652916330022645,1.4999152147556527,1.4979586639377502,0.07658650396333613,0.011040736387267746,-0.2591063737621384,12.941463156053326,S,0.0,1.0,0.0,1.0,135.8317420738066,125.98294962150202,35.86734693877551,-16.106060606060606,2.0585368439466745
70,-66.40284646624126,-105.48392681167834,0.05982468629914906,1.2172504684673282,1.2110905710606157,0.12230425860125116,0.018532385940809016,-0.22769840437551453,-53.46917982062753,-104.91787355795014,0.036714368091807774,1.6725456821540758,1.670397677651256,0.08473875966482661,0.011097236830115197,-0.26216440540764857,12.946047627979642,S,0.0,1.0,0.0,1.0,135.82192542652618,125.970445475258,35.86734693877551,-16.106060606060606,2.0539523720203583
80,-66.38982887863779,-105.4831647213134,0.06028698993946259,1.2806221146822079,1.2735622110836669,0.13428438149245572,0.014016520736613693,-0.19652138354100296,-53.45081122020451,-104.91720242314867,0.036914950088168856,1.8083174631385324,1.805983146905512,0.09185271136466759,0.010658202342401387,-0.25259746371845176,12.95138955047651,S,0.0,1.0,0.0,1.0,135.81162227947252,125.95694616720229,35.86734693877551,-16.106060606060606,2.0486104495234905
90,-66.37609304679822,-105.4823404891951,0.060793946799547166,1.3562525548281916,1.3482938407754017,0.1467130239791704,0.009660383374988138,-0.167168794748565,-53.431388129342984,-104.91649015830059,0.037130659681330044,1.9154075931354952,1.9128996275925378,0.09798603266507469,0.00983071256746505,-0.23334433619235084,12.957066488868657,S,0.0,1.0,0.0,1.0,135.80073794288455,125.94267141052471,35.86734693877551,-16.106060606060606,2.042933511131343
100,-66.36169314706622,-105.48146068927178,0.06134461047267011,1.4268532220740826,1.4180355840615815,0.15838307888887762,0.005239203996047181,-0.1359980112039677,-53.41113058338545,-104.91574357228394,0.03736017767283479,2.001529105525697,1.998861202960917,0.10330852609602077,0.008719732101095879,-0.20718975269081702,12.96291273488574,S,0.0,1.0,0.0,1.0,135.78931760969527,125.92778222948301,35.86734693877551,-16.106060606060606,2.037087265114261
110,-66.34686065562906,-105.4805389616014,0.061930551924464075,1.4750027298848571,1.4654460955711979,0.16763291485538404,0.00068440199672301,-0.10032510423088141,-53.390185321894094,-104.9149668915468,0.03760208649413172,2.0737416749423065,2.070924549411552,0.10805574967156249,0.007423975415277234,-0.1766711051874581,12.969013357624469,S,0.0,1.0,0.0,1.0,135.7775445921639,125.91238581207467,35.86734693877551,-16.106060606060606,2.030986642375531
120,-66.3315691616862,-105.47957271842962,0.06254664491012633,1.5256300354770116,1.515393789806948,0.17643317988440627,-0.00334549198809605,-0.06673180316407946,-53.36863392968447,-104.91416213894964,0.037854740282419606,2.1382808943087044,2.1353241560141907,0.11240966020728071,0.006015813387272576,-0.14401320216902302,12.975260265307194,S,0.0,1.0,0.0,1.0,135.7653973566497,125.89654157057724,35.86734693877551,-16.106060606060606,2.0247397346928064
130,-66.31573564985038,-105.47855598430446,0.06318969955436675,1.584188270210406,1.573307375758222,0.18535473249155252,-0.00672190688653204,-0.03644835037658361,-53.34650230845788,-104.91332925571845,0.03811628506175155,2.2004478501783344,2.1973595805715513,0.11654018630871647,0.004582377950433694,-0.11108918399419795,12.98154438879269,S,0.0,1.0,0.0,1.0,135.75280953795453,125.88026796333325,35.86734693877551,-16.106060606060606,2.01845561120731
140,-66.29904064913855,-105.47746637165274,0.06385585039639302,1.6736145375089209,1.662110828201484,0.19589082402342436,-0.008975075703849733,-0.014600809475496048,-53.323770809451794,-104.91246681873392,0.03838553092873283,2.264559272440748,2.2613424949901657,0.12065993017162421,0.00319094847734092,-0.07940819048214633,12.987565280201027,S,0.0,1.0,0.0,1.0,135.73952600949363,125.8635502025447,35.86734693877551,-16.106060606060606,2.012434719798973
150,-66.28138630521623,-105.47630322043847,0.064552584656611,1.7723908832349289,1.7602119325671555,0.20742081723513456,-0.010874360663806745,0.004011146238655335,-53.300384546196014,-104.91157208396405,0.038660633661855154,2.333941402468619,2.3306018210309274,0.12481034398041344,0.0018715679054783837,-0.05012051761013982,12.993280106431541,S,0.0,1.0,0.0,1.0,135.7254728056047,125.84634761099753,35.86734693877551,-16.106060606060606,2.0067198935684587
160,-66.26269056843103,-105.47506177474368,0.06525622084499669,1.8787681171494717,1.8662632964900503,0.21640458911830351,-0.013200511468585353,0.019282597524750096,-53.276263119271796,-104.91064145304392,0.03894013939066755,2.410997049143698,2.4075370930374422,0.12911977628714724,0.0006741293458431066,-0.02403996666263864,12.99868717185793,S,0.0,1.0,0.0,1.0,135.71058518447074,125.82860085683853,35.86734693877551,-16.106060606060606,2.001312828142069
170,-66.242868082528,-105.47372718626937,0.06594883540617567,1.9932261950503039,1.9805486122580658,0.22445012612462872,-0.014510322270140688,0.031241811973366132,-53.25130957754701,-104.90967072457855,0.03922206403786014,2.4972805128840747,2.493705460464446,0.13357782929945103,-0.0004003541314792521,-0.0016777152697288085,13.003797602251396,S,0.0,1.0,0.0,1.0,135.69478929453481,125.81023849176988,35.86734693877551,-16.106060606060606,1.996202397748604
180,-66.22183101478484,-105.47228956632495,0.06664937393680641,2.116186592155936,2.103014576321135,0.2357443204011279,-0.014010576606048455,0.03998694975298475,-53.225418178920194,-104.90865533065795,0.03950412729161475,2.5936161977947383,2.589932647722515,0.13818054032416988,-0.0013426111327646735,0.01671788661171572,13.008629065041529,S,0.0,1.0,0.0,1.0,135.6780127132326,125.79118262476898,35.86734693877551,-16.106060606060606,1.9913709349584714
190,-66.19970959704818,-105.47076202664446,0.06738339613440696,2.226367674626181,2.212402547857255,0.24897387183219385,-0.012928849437390078,0.05014244549127349,-53.19848090517867,-104.90759072609056,0.03978340916116862,2.7002150903731987,2.6964340842683177,0.1428452430962264,-0.00218371453613088,0.03111641381669429,13.01342035792507,S,0.0,1.0,0.0,1.0,135.66036226502248,125.77135381790032,35.86734693877551,-16.106060606060606,1.9865796420749309
200,-66.17641796447758,-105.46914396416233,0.06816364832852238,2.344648927861744,2.329752570711918,0.2638779153025814,-0.01160393318811594,0.05660049252819216,-53.17039268544592,-104.90647205778959,0.04005526068790067,2.8167985782837968,2.8129403154721278,0.14738050146876888,-0.002940383893971954,0.04166297738950041,13.018190858680468,S,0.0,1.0,0.0,1.0,135.64177314860427,125.7506745563896,35.86734693877551,-16.106060606060606,1.9818091413195322
210,-66.15185865197718,-105.46742983981468,0.06899292987028047,2.4722200006184076,2.456349939656761,0.2796724966919429,-0.010104645514941647,0.059620318117204876,-53.141055141073494,-104.90529454047157,0.04031595036686153,2.942739727315995,2.9388170973277776,0.15189197206486157,-0.003549001255742628,0.048634630253371315,13.02294145322443,S,0.0,1.0,0.0,1.0,135.6221686181857,125.72907216768249,35.86734693877551,-16.106060606060606,1.9770585467755701
220,-66.12594860127065,-105.46561157573173,0.06986936770849901,2.6077261903761513,2.5908715361623713,0.2960077145571565,-0.00841794616517707,0.059725396843510324,-53.11037933821293,-104.90405360142873,0.04056217869042816,3.0771505514018513,3.0731727715634123,0.1564117390542439,-0.003980131568863433,0.05240065881585527,13.027677866755694,S,0.0,1.0,0.0,1.0,135.601481129892,125.70648087281788,35.86734693877551,-16.106060606060606,1.9723221332443064
230,-66.09862032528834,-105.46368030212973,0.07079012475963374,2.749701369357668,2.7318471118102647,0.31284018019005855,-0.006552430720357367,0.05745454218605578,-53.078287319009014,-104.90274559194738,0.04079442242654817,3.218998576162349,3.214953372460322,0.16132776029323392,-0.004146283086233999,0.05338806658877155,13.032410342814337,S,0.0,1.0,0.0,1.0,135.57965436540786,125.68284337172827,35.86734693877551,-16.106060606060606,1.9675896571856626
240,-66.06960430212305,-105.46161260437476,0.07175092207716352,2.9178738462786313,2.8989916666176243,0.3314137892098377,-0.004346335966079319,0.04881271009709135,-53.044713161658684,-104.90136810121984,0.041013516185423544,3.3671423716709494,3.3630196603146607,0.16657285324725563,-0.0041433953936911615,0.05205063058724314,13.03693457543845,S,0.0,1.0,0.0,1.0,135.55647052506478,125.65811181321763,35.86734693877551,-16.106060606060606,1.9630654245615506
250,-66.03887860427706,-105.45940497046402,0.07274489877311138,3.0881999934887614,3.068358656021279,0.34950587663625543,-0.0026908345858401867,0.03987304881476804,-53.00960312020994,-104.8999193886972,0.04122078911895269,3.5204283321679517,3.5162168816452497,0.1721466908301824,-0.003991419245047038,0.04884904585023754,13.041282289557168,S,0.0,1.0,0.0,1.0,135.53191120003865,125.63224748964018,35.86734693877551,-16.106060606060606,1.9587177104428317
260,-66.00645242905951,-105.45705308426713,0.07373579343470374,3.257513806393186,3.2371708801592116,0.36348437585604276,-0.002428594416790678,0.031052262400427764,-52.97291529006105,-104.8983984393668,0.04141683166615437,3.6777310640386207,3.6734262913010016,0.177890589332922,-0.0037781157154572454,0.04422816847771849,13.045504412092342,S,0.0,1.0,0.0,1.0,135.50598088083942,125.60522063510108,35.86734693877551,-16.106060606060606,1.9544955879076582
270,-65.9723387043952,-105.45454336558902,0.0747017199710888,3.425661492977364,3.404968734489175,0.375958217916684,-0.001807800484607253,0.022672414751904575,-52.93461890075294,-104.89680419662025,0.041599252936868635,3.8379923370723015,3.8336063769970714,0.18343207373056233,-0.0035889485318865632,0.03860488508097033,13.04964408169386,S,0.0,1.0,0.0,1.0,135.4786807705536,125.57700937802782,35.86734693877551,-16.106060606060606,1.9503559183061405
280,-65.93654838607208,-105.45186784349943,0.0756691995911859,3.5930064936221418,3.5715038336919624,0.3924997186425656,0.0003644994775852501,0.014914891424180208,-52.89469292794768,-104.8951353921611,0.04176720307546305,4.000289789771981,3.9958233958027436,0.18898092948599785,-0.003311700045954908,0.032358003478271585,13.053732983824291,S,0.0,1.0,0.0,1.0,135.45001430129898,125.54759863363975,35.86734693877551,-16.106060606060606,1.9462670161757085
290,-65.89909632494775,-105.44903057162747,0.07665422846594665,3.758993056540582,3.7364863021497685,0.41072973226618636,0.002258501129650199,0.007842963273339706,-52.853124901325224,-104.89339113855404,0.04191993667265164,4.163808834865761,4.159262886608682,0.1945154322561119,-0.002971068581456829,0.025816926317720725,13.057798649296203,S,0.0,1.0,0.0,1.0,135.41999577911966,125.51697967452988,35.86734693877551,-16.106060606060606,1.9422013507037974
300,-65.86000018425102,-105.44603410721938,0.0776642267189713,3.9233264511232924,3.8997243513702204,0.4296980630789509,0.0037940018284284343,0.001566075890443771,-52.8099093396477,-104.89157113577453,0.042060722724489526,4.3278844939171215,4.323238321753756,0.20048592471300458,-0.002460343254378672,0.019262488094292367,13.061864347753072,S,0.0,1.0,0.0,1.0,135.38864065303443,125.48514916551316,35.86734693877551,-16.106060606060606,1.9381356522469275
310,-65.81927956571141,-105.44287738436546,0.07869565586813894,4.085813105190551,4.061138140673413,0.4483589331267392,0.004899945784473083,-0.003850893732866357,-52.76504676347077,-104.88967634640886,0.0421912880049008,4.491937909569225,4.4871848558633145,0.20658715530271954,-0.001982691402977202,0.012920867739876753,13.065949083150898,S,0.0,1.0,0.0,1.0,135.35596345172027,125.4521089393072,35.86734693877551,-16.106060606060606,1.9340509168491025
320,-65.77695319480532,-105.43955607924944,0.07975032994488362,4.246594929131595,4.220763676035536,0.4676777557091656,0.006092064424877688,-0.008375746132401628,-52.718542427799164,-104.88770786296284,0.042311404030580375,4.655515943732951,4.650660872121881,0.21256094388729435,-0.0016145663759446613,0.006973365342563861,13.070066113592574,S,0.0,1.0,0.0,1.0,135.32197590599876,125.41786429578532,35.86734693877551,-16.106060606060606,1.9299338864074258
330,-65.73303885863298,-105.43606636263162,0.08082966165569262,4.4057559454164315,4.378694188530305,0.4875681018105803,0.00722142224367482,-0.0120353143063378,-52.670405238252485,-104.8856664553734,0.04241652543856644,4.818269961704867,4.813340634615681,0.2178929990268979,-0.0014752584581964412,0.0015550837239956504,13.074224151291146,S,0.0,1.0,0.0,1.0,135.28668937723052,125.3824229121457,35.86734693877551,-16.106060606060606,1.925775848708854
340,-65.68755222681418,-105.43240388706894,0.08194058017960631,4.563525957201484,4.53507680650481,0.5087705977686395,0.008519844033037453,-0.014865998653327724,-52.62064637852587,-104.88355191821228,0.04250191585358231,4.97998775164882,4.975008332936284,0.22264342295878906,-0.001436634115535875,-0.0032377454107239403,13.078427540486242,S,0.0,1.0,0.0,1.0,135.25011330305654,125.34579340768457,35.86734693877551,-16.106060606060606,1.921572459513758
350,-65.64050692807751,-105.42856626182275,0.08309308102474586,4.720090208815053,4.690070008602467,0.531502487067924,0.009812008935125849,-0.016938888245615055,-52.569278168933735,-104.88136414902513,0.04256577775900756,5.140562232408386,5.13554025930671,0.22717022318837082,-0.001378086574486786,-0.007349204818034646,13.08267753275749,S,0.0,1.0,0.0,1.0,135.2122568899656,125.30798529857145,35.86734693877551,-16.106060606060606,1.91732246724251
360,-65.59191670721717,-105.42455207195192,0.08428100011826904,4.875362250959471,4.843823068883274,0.5536561707728239,0.010338311391772052,-0.01833922562118161,-52.516313351650176,-104.87910401495395,0.042608355213151275,5.299949609338765,5.294885077517491,0.2316417005047289,-0.0013099144612080452,-0.010758049994989244,13.086975078107148,S,0.0,1.0,0.0,1.0,135.17313008630654,125.269009106046,35.86734693877551,-16.106060606060606,1.913024921892852
370,-65.54179392379372,-105.42035591883176,0.08549277219720285,5.029496593753746,4.996530630777508,0.5749066378836163,0.01036580550816307,-0.019120228709817895,-52.4617645643525,-104.87677332874483,0.04263053249954772,5.458155548645326,5.453048815696875,0.23605212736738085,-0.0012917662308470615,-0.01346932245387086,13.091319646089538,S,0.0,1.0,0.0,1.0,135.13273917782212,125.22887596806638,35.86734693877551,-16.106060606060606,1.9086803539104622
