time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,-9.783579291321087e-06,15.86860845131533,nan,inf,0,0,0,0,3,1,3,0
1,0.02834097091980203,15.86860845131533,nan,inf,0,0,0,0,4,1,6,0
2,0.04772600293640249,15.86860845131533,1.354390918979928,inf,0,0,0,0,4,2,3,1
3,0.06114427790353812,15.86860845131533,1.8061511951316855,inf,0,0,0,0,7,3,8,1
4,0.07060279110403597,15.86860845131533,2.2623616572962137,inf,0,0,0,0,5,2,6,1
5,0.07756243916403321,15.86860845131533,2.719191503581061,inf,0,0,0,0,3,2,2,1
6,0.08315622882226233,15.86860845131533,3.1758965134990245,inf,0,0,0,0,5,3,3,1
7,0.08750996106592714,15.86860845131533,3.6322416256607144,inf,0,0,0,0,1,1,1,0
8,0.09149599468210765,15.86860845131533,4.088258408373638,inf,0,0,0,0,3,1,3,0
9,0.09502381655229948,15.86860845131533,4.5459455233215085,inf,0,0,0,0,1,1,1,0
10,0.09833815883164346,15.86860845131533,5.002806931393497,inf,0,0,0,0,0,0,0,0
11,0.1004818299517718,15.86860845131533,5.4588207647997,inf,0,0,0,0,1,1,1,0
12,0.10170076171938802,15.86860845131533,5.9144277692002145,inf,0,0,0,0,1,1,1,0
13,0.10112187329496967,15.86860845131533,6.3698617767372125,inf,0,0,0,0,1,1,1,0
14,0.09895379391093911,15.86860845131533,6.823968991735958,inf,0,0,0,0,1,1,1,0
15,0.09568743566120831,15.86860845131533,7.276683249899846,inf,0,0,0,0,1,1,1,0
16,0.09145846339518877,15.86860845131533,7.728949725161164,inf,0,0,0,0,1,1,1,0
17,0.08645427477024697,15.86860845131533,8.181093951815717,inf,0,0,0,0,0,0,0,0
18,0.08091709938680744,15.86860845131533,8.633083775222312,inf,0,0,0,0,1,1,1,0
19,0.07496130353406721,15.86860845131533,9.084900789121846,inf,0,0,0,0,1,1,1,0
20,0.06895696290118589,15.86860845131533,9.53647706467219,inf,0,0,0,0,2,2,1,1
21,0.06328542669801242,15.86860845131533,9.987736820970612,inf,0,0,0,0,1,1,1,0
22,0.05814366324187144,15.86860845131533,10.438726703817657,inf,0,0,0,0,1,1,1,0
23,0.05360472113549096,15.86860845131533,10.889171462380164,inf,0,0,0,0,1,1,1,0
24,0.04980697601768118,15.86860845131533,11.338998049469833,inf,0,0,0,0,1,1,1,0
25,0.046677640267007256,15.86860845131533,11.788156588908876,inf,0,0,0,0,2,2,1,1
26,0.044127029769925344,15.86860845131533,12.2365841628785,inf,0,0,0,0,2,2,1,1
27,0.04211508571413955,15.86860845131533,12.684241827114345,inf,0,0,0,0,1,1,1,0
28,0.040376485590142674,15.86860845131533,13.131092573131411,inf,0,0,0,0,1,1,1,0
29,0.03906381294222952,15.86860845131533,13.57711476108467,inf,0,0,0,0,0,0,0,0
30,0.0377979479152631,15.86860845131533,14.022558140441463,inf,0,0,0,0,2,2,1,1
31,0.036642293370708054,15.86860845131533,14.466534422921633,inf,0,0,0,0,3,1,3,0
