time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,-1.6461855608246198e-06,13.99351371663391,nan,inf,0,0,0,0,3,2,2,1
1,0.011190388457208829,13.99351371663391,nan,inf,0,0,0,0,3,2,2,1
2,0.01874333722150641,13.99351371663391,1.348904078715075,inf,0,0,0,0,3,2,2,1
3,0.024015306524644023,13.99351371663391,1.804231696884322,inf,0,0,0,0,4,1,6,0
4,0.027681614065966347,13.99351371663391,2.2603895922234805,inf,0,0,0,0,4,1,6,0
5,0.03049505030241706,13.99351371663391,2.7171468208017795,inf,0,0,0,0,2,2,1,1
6,0.03280965841640223,13.99351371663391,3.174548282370086,inf,0,0,0,0,4,1,6,0
7,0.035613239593218965,13.99351371663391,3.6321802396468414,inf,0,0,0,0,3,1,3,0
8,0.03827567075932892,13.99351371663391,4.08954653307496,inf,0,0,0,0,3,2,2,1
9,0.039955432678898076,13.99351371663391,4.54665011318695,inf,0,0,0,0,1,1,1,0
10,0.041634255158019794,13.99351371663391,5.003550602357892,inf,0,0,0,0,2,2,1,1
11,0.043037879962379774,13.99351371663391,5.460279735586101,inf,0,0,0,0,1,1,1,0
12,0.04400343959265077,13.99351371663391,5.9162101080643685,inf,0,0,0,0,0,0,0,0
13,0.04434138939633267,13.99351371663391,6.370685564103889,inf,0,0,0,0,1,1,1,0
14,0.044222608935616615,13.99351371663391,6.824848422896298,inf,0,0,0,0,0,0,0,0
15,0.04353820144620789,13.99351371663391,7.27858326444133,inf,0,0,0,0,1,1,1,0
16,0.042098268572514135,13.99351371663391,7.730120046549656,inf,0,0,0,0,1,1,1,0
17,0.039954971886573126,13.99351371663391,8.181663863345332,inf,0,0,0,0,1,1,1,0
18,0.03723182049235664,13.99351371663391,8.63304106316289,inf,0,0,0,0,1,1,1,0
19,0.03395747452672525,13.99351371663391,9.084284517761757,inf,0,0,0,0,2,2,1,1
20,0.03046240503276901,13.99351371663391,9.535323658094514,inf,0,0,0,0,1,1,1,0
21,0.026894251691057223,13.99351371663391,9.986073787227433,inf,0,0,0,0,0,0,0,0
22,0.023534221559772958,13.99351371663391,10.436971198875401,inf,0,0,0,0,1,1,1,0
23,0.02062395440298688,13.99351371663391,10.88752345444339,inf,0,0,0,0,1,1,1,0
24,0.018283636224866152,13.99351371663391,11.337509445779611,inf,0,0,0,0,1,1,1,0
25,0.016459862921738205,13.99351371663391,11.786871964991203,inf,0,0,0,0,1,1,1,0
26,0.01523302133685339,13.99351371663391,12.235549410947812,inf,0,0,0,0,1,1,1,0
27,0.014487065284385252,13.99351371663391,12.683478237221394,inf,0,0,0,0,1,1,1,0
28,0.014092401416285358,13.99351371663391,13.130602391657169,inf,0,0,0,0,1,1,1,0
29,0.014063707621628093,13.99351371663391,13.576887431826057,inf,0,0,0,0,3,1,3,0
30,0.014327150775024892,13.99351371663391,13.84930942691312,inf,0,0,0,0,2,1,2,0
31,0.014615328034103994,13.99351371663391,13.849979433283902,inf,0,0,0,0,1,1,1,0
32,0.015009940470761636,13.99351371663391,13.84984392067183,inf,0,0,0,0,3,1,3,0
33,0.015430219989097757,13.99351371663391,13.84987349439585,inf,0,0,0,0,2,2,1,1
34,0.015940915971960328,13.99351371663391,13.84984126639361,inf,0,0,0,0,1,1,1,0
35,0.016423387191402856,13.99351371663391,13.84988077423072,inf,0,0,0,0,1,1,1,0
36,0.017005575717976694,13.99351371663391,13.849869984881638,inf,0,0,0,0,1,1,1,0
37,0.017514055449281276,13.99351371663391,13.84980101360408,inf,0,0,0,0,1,1,1,0
38,0.01803952684186039,13.99351371663391,13.849702766437963,inf,0,0,0,0,2,2,1,1
39,0.018551733554350962,13.99351371663391,13.849568432828647,inf,0,0,0,0,3,2,2,1
40,0.019061995666329313,13.99351371663391,13.849412190541972,inf,0,0,0,0,1,1,1,0
41,0.019539618244409578,13.99351371663391,13.849239737227249,inf,0,0,0,0,1,1,1,0
42,0.019762366393969347,13.99351371663391,13.848814719170079,inf,0,0,0,0,1,1,1,0
43,0.01987593690820267,13.99351371663391,13.848449459418545,inf,0,0,0,0,2,2,1,1
44,0.019902007955852265,13.99351371663391,13.848359618455918,inf,0,0,0,0,2,2,1,1
45,0.01985092646016853,13.99351371663391,13.845528505918812,inf,0,0,0,0,1,1,1,0
46,0.019625430804995438,13.99351371663391,13.843005001684647,inf,0,0,0,0,2,2,1,1
47,0.019621153647056536,13.99351371663391,13.841060118115747,inf,0,0,0,0,2,2,1,1
48,0.01975401998389107,13.99351371663391,13.840436035917453,inf,0,0,0,0,1,1,1,0
49,0.020114458730053287,13.99351371663391,13.842062626833563,inf,0,0,0,0,2,2,1,1
50,0.02074110469617119,13.99351371663391,13.844997521937081,inf,0,0,0,0,1,1,1,0
51,0.02141405241555143,13.99351371663391,13.847851296422386,inf,0,0,0,0,1,1,1,0
52,0.022146730710397917,13.99351371663391,13.85045013544399,inf,0,0,0,0,1,1,1,0
53,0.02287124852072474,13.99351371663391,13.853513295246012,inf,0,0,0,0,4,2,3,1
54,0.023469262854867848,13.99351371663391,13.866445732845335,inf,0,0,0,0,1,1,1,0
